id,supplier_id,part_number,qty,status
1,1,719B2683-10,31,STAGED
2,1,665N9689-15,34,STAGED
3,1,657M2916-1,30,PACKING
4,1,581Q2939-12,24,SHIPPED
5,1,616Q2625-5,27,SHIPPED
6,1,531J8217-10,24,SHIPPED
7,1,843Z2884-6,25,PACKING
8,1,963Y2116-1,20,PACKING
9,1,968X4686-7,15,SHIPPED
10,1,493G8487-3,31,STAGED
11,1,575M6495-12,30,STAGED
12,1,122M5342-11,29,PACKING
13,1,121Q9526-15,29,SHIPPED
14,1,912G8753-13,21,SHIPPED
15,1,612M7248-11,30,PACKING
16,1,279I2674-5,39,SHIPPED
17,1,354Z3347-4,31,PACKING
18,1,781I8431-9,36,SHIPPED
19,1,524T7563-14,28,PACKING
20,1,489A8454-8,34,PACKING
21,1,661X6182-13,16,STAGED
22,1,181S1675-13,17,SHIPPED
23,1,338U8935-10,23,STAGED
24,1,579W5734-8,23,PACKING
25,1,671L9762-9,18,SHIPPED
26,1,835B2345-6,29,SHIPPED
27,1,723Q1527-12,33,PACKING
28,1,763R1856-1,37,PACKING
29,1,812Y8331-2,37,PACKING
30,1,132M8365-10,40,SHIPPED
31,1,849M1361-9,19,PACKING
32,1,976H4335-4,17,SHIPPED
33,1,786E3895-12,33,PACKING
34,1,637V4234-12,39,PACKING
35,1,185T7932-4,22,SHIPPED
36,1,784J6567-6,36,SHIPPED
37,1,222V5856-7,15,STAGED
38,1,226G3627-6,36,SHIPPED
39,1,956Z9381-10,23,STAGED
40,1,274O6232-12,33,PACKING
41,1,241S2199-9,19,STAGED
42,1,166T8236-9,17,SHIPPED
43,1,998R8283-7,22,PACKING
44,1,923L9839-15,24,SHIPPED
45,1,996J4125-9,31,STAGED
46,1,594K9664-4,40,SHIPPED
47,1,648O3542-11,29,STAGED
48,1,377M8698-9,38,PACKING
49,1,539E9349-6,16,SHIPPED
50,1,642Q1398-14,17,SHIPPED
51,1,365Y9637-13,39,SHIPPED
52,1,114S9179-6,21,STAGED
53,1,687O4495-2,22,SHIPPED
54,1,793H6827-12,24,STAGED
55,1,216Q3345-1,27,SHIPPED
56,1,267Z2243-15,17,PACKING
57,1,744X5874-9,30,SHIPPED
58,1,226X9242-12,16,STAGED
59,1,588V9295-3,32,STAGED
60,1,487H8855-13,29,PACKING
61,1,185B5181-13,20,PACKING
62,1,937E9481-8,19,SHIPPED
63,1,861M4635-8,31,PACKING
64,1,135R8735-3,23,PACKING
65,1,252N1237-12,37,STAGED
66,1,229G5919-15,19,SHIPPED
67,1,689O7839-14,37,STAGED
68,1,199U1247-10,36,SHIPPED
69,1,522L1321-14,39,STAGED
70,1,749U8235-7,26,STAGED
71,1,391U9645-3,15,PACKING
72,1,565G7594-14,36,PACKING
73,1,534E2373-12,28,PACKING
74,1,179C5462-2,36,PACKING
75,1,386C3888-7,17,PACKING
76,1,258C4267-13,40,SHIPPED
77,1,282Q8188-13,39,SHIPPED
78,1,337R9264-9,22,STAGED
79,1,363G3854-7,30,PACKING
80,1,356E3846-8,15,SHIPPED
81,1,462P6685-3,39,SHIPPED
82,1,932D1221-8,17,SHIPPED
83,1,865P5127-4,22,SHIPPED
84,1,842C6519-13,40,SHIPPED
85,1,572C7948-1,27,STAGED
86,1,529U9831-13,32,STAGED
87,1,981W8312-6,37,STAGED
88,1,471W7873-7,37,STAGED
89,1,394F3934-6,23,STAGED
90,1,189N9388-7,17,PACKING
91,1,489F4931-2,29,PACKING
92,1,426H1265-9,28,STAGED
93,1,736S1693-3,24,STAGED
94,1,675P1796-3,38,STAGED
95,1,386A5732-5,19,SHIPPED
96,1,512F2945-9,37,STAGED
97,1,832U4713-12,22,STAGED
98,1,469C3148-1,27,STAGED
99,1,991J3459-1,34,PACKING
100,1,597Q9657-2,28,SHIPPED
101,1,746T1641-2,32,SHIPPED
102,1,283W8519-9,22,PACKING
103,1,153J5926-2,23,STAGED
104,1,771C1591-11,15,STAGED
105,1,823I1795-11,21,STAGED
106,1,981L5583-11,37,PACKING
107,1,473C7856-12,17,STAGED
108,1,581B5917-7,31,STAGED
109,1,351Y3735-11,34,SHIPPED
110,1,265N2772-3,24,PACKING
